price,title,location,bhk,bathroom,area
30000,2bhk sector 79 16 marla house owner is there on gf full furnished 30k,"Sector 79, Mohali",2,2,2200
60000,3+1 BHK fully furnished flat available for rent in sector 91,"Sector 91, Mohali",3,3,2250
22000,2bhk semi (wave estate) 85 sector,"Sector 85, Mohali",2,2,1300
20000,2 BHK Flat for rent,"Sector 110, Mohali",2,2,750
28000,3 Bhk fully furnished Aster city,"Landran, Mohali",3,3,1600
38000,3 BHK AVAILABLE FOR RENT PURAB 88,"Sector 78, Mohali",3,2,3250
32000,"Owner Free 3BHK For Rent in Sector 88, Mohali","Sector 88, Mohali",3,2,2200
20000,2bhk newly built un furnished rent 20k 2nd floor ground floor owner,"Sector 80, Mohali",2,2,1050
27000,3bhk furnished with Ac rent 27k only family1st floor Royal property,"Industrial Area Phase 7, Mohali",3,2,1050
70000,3+1Bhk Flat For Rent In Marbella Grand,"Airport Road, Mohali",4,4,2600
29000,3 BHK Semi-Furnished in Mohali with ONLY 25% Brokerage!,"Sector 126, Kharar",3,3,1810
10500,One girl or boy required,"Landran, Mohali",1,1,1
22000,2 fully furnished flat available for rent near airport road.,"Sector 126, Mohali",2,2,1300
42000,3bhk unfurnished for rent,"Sector 50, Chandigarh",3,3,2500
30000,2 bhk luxury for small family,"Sector 77, Mohali",2,2,2245
15000,Studio Appartment 2nd floor non Ac furnished rent 15k Royal property,"Sector 54, Chandigarh",1,1,1050
18000,1RK FURNISHED (near judcial court& sohana gurdwara),"Sector 76, Mohali",1,1,800
45000,Apartments and kothis in wave estate,"Sector 85, Mohali",3,3,2250
14000,1bhk ( 80 sector),"Sector 80, Mohali",1,1,1000
60000,Fully furnished 3bhk apartment for rent,"Sector 79, Mohali",3,3,2700
15000,One rk for rent Wembley society independent for girl family rent 15000,"Sector 91, Mohali",1,1,1050
25000,Owner Free 2BHK Kothi Floor for Rent in Mohali,"Sector 80, Mohali",2,2,2700
53000,"3+1 Bhk Flat in Bestech Tower Sector 66, Mohali","Sector 66, Mohali",4,4,2100
66000,3+1 bhk for rent,"Airport Road, Mohali",4,4,2490
27500,3 bhk available for rent,"Sector 78, Mohali",3,2,1800
6200,Room for rent,"Kailon Village, Mohali",1,1,400
26999,Owner Free 2AC 2BHK Fully Independent Fully Furnished,"Sector 63, Mohali",2,2,2150
17000,Owner Free 2Room Set Fully Independent Fully Furnished,"Sector 61, Mohali",2,1,1300
9000,Owner Free With Lift Furnished One Room Brokerage 50%,"Sector 80, Mohali",1,1,850
17500,Owner Free Society Flat AC 1BHK Ground Floor Fully Furnished Broker50%,"Sector 79, Mohali",2,1,1650
12000,Owner Free 1AC Room Fully Independent Fully Furnished,"Sector 63, Mohali",1,1,800
9000,Owner Free 1Room  Fully Independent Fully Furnished,"Sector 80, Mohali",1,1,700
15000,All type of rooms available,"Sector 78, Mohali",1,1,1000
10000,Flatmate needed (Any),"Sector 74, Mohali",3,3,500
15500,1bhk full furnished independent,"Airport Road, Mohali",1,1,700
65000,3bhk luxury furnished available in wave estate,"Sector 85, Mohali",3,3,250
45000,"in depended Flat, 5th floor  , park facing, luxury society, sector 91,","Sector 91, Mohali",3,3,2400
8000,To let for small family or working girl only,"Sector 60, Mohali",1,1,250
10000,independent 1 room set available for girls/boys/couples/familes,"Sector 71, Mohali",1,1,900
23000,Newly build Fully Furnished 2 BHK,"Sector 126, Mohali",2,2,1400
30000,3 bhk fully furnished flat for rent,"Desu Majra, Kharar",3,3,1350
16500,One Bhk flat for rent fully furnished,"Sector 117, Mohali",1,1,500
21500,Low rent OWNER FREE FullyFurnished 1 Bedroom Drawing room 2bath SEC63,"Sector 50, Chandigarh",1,2,900
25000,2 bhk ower free for only family,"Sector 89, Mohali",2,1,2245
9000,One Room Set Full Furnished Full independent brokerage 50%,"Sector 63, Mohali",1,1,1200
16500,1 AC 2 Room Set Full Furnished Full independent brokerage 50%,"Sector 64, Mohali",2,1,1400
37000,4AC Fully Furnished 3BHK 3Washroom Society Flat Brokerage50%,"Sector 68, Mohali",3,3,2200
44000,3bhk semi-furnished for family sector 85 wave easte,"Sector 85, Mohali",3,3,2500
20000,Fully furnished 1 BHK flat Sector 63 Chandigarh,"Sector 50, Chandigarh",1,2,750
65000,Acme Eden court sector 91,"Sector 91, Mohali",3,4,2250
42000,3 BHK fully furnished House floor sector 85,"Sector 85, Mohali",3,3,2700
45000,"in depended Flat,12th floor  , park facing, luxury Society, sector 91,","Sector 91, Mohali",3,3,2400
55000,Luxury 3bhk for rent,"Sector 70, Mohali",3,3,2700
48000,3bhk Kanal 1st floor sector 70 for family or guest housee,"Sector 70, Mohali",3,3,3800
16500,Owner Free AC Fully Furnished two Room Set Brokerage 50%,"Sector 64, Mohali",2,1,1650
12010,Owner Free AC Fully Furnished One Room Set Brokerage 50%,"Sector 61, Mohali",1,1,1100
12000,Owner Free AC Fully Furnished One Room Brokerage 50%,"Sector 61, Mohali",1,1,1100
