Feature,Importance
"location_Ganesh Nagar, Rajpura",1.741031184529704e-05
"location_PSEB Power Colony, Patiala",1.7359027955022118e-05
"location_Vijay Nagar Village, Patiala",1.7358814349805307e-05
"location_Shaheed Udham Singh Colony, Rajpura",1.719782569697017e-05
"location_Sector 94, Mohali",1.70454211098568e-05
"location_Green Enclave Colony, Mohali",1.6976723672058776e-05
"location_Guru Ki Nagri, Mandi Govindgarh",1.6589053439745057e-05
"location_Sector 41B, Chandigarh",1.618839833419104e-05
"location_Chapar Chiri, Mohali",1.610300063595562e-05
"location_Sector 28A, Chandigarh",1.5878998912333627e-05
"location_Gobind Nagar, Kharar",1.574475512846725e-05
"location_Bank Colony, Khanna",1.534069197973731e-05
"location_Sector 62, Mohali",1.4987483518716762e-05
"location_Dadhi Kanian 147, Nalagarh",1.4944071995893491e-05
"location_Sector 6, Panchkula",1.4770084644416645e-05
"location_Dadu Majra, Chandigarh",1.4302347136231306e-05
"location_Khali, Dagshai",1.3981287865411769e-05
"location_Bhumian 133, Nalagarh",1.3318956471920209e-05
"location_Chambaghat Industrial Area, Solan",1.3156417992080214e-05
"location_Mirpur, Mubarakpur",1.3122450854719402e-05
"location_Sector 96, Mohali",1.3030591104075664e-05
"location_Moti Nagar, Khanna",1.2749299620968633e-05
"location_Shivalik Nagar, Jharmajri EPIP Phase 1",1.2744113594054062e-05
"location_Bagichi Het Ram Colony, Patiala",1.2103371444801294e-05
"location_Basant Vihar, Rajpura",1.1924695529931194e-05
"location_Baldevnagar, Ambala",1.1773738021087156e-05
"location_Sori 132, Nalagarh",1.1643502831389506e-05
"location_Model Town, Ambala",1.1579775339555436e-05
"location_Adarsh Nagar Ward No 6, Kharar",1.1498486717697777e-05
"location_Preet Colony, Zirakpur",1.1409108290547962e-05
"location_Chogayan Mohalla, Kharar",1.1213623004899366e-05
"location_Sector 11D, Chandigarh",1.1139979889810343e-05
"location_Sector 23, Panchkula",1.0632209926847672e-05
"location_Suketri 376, Panchkula",1.0598670203633577e-05
"location_Banur, Punjab",1.0560221166265864e-05
"location_Ravindra Enclave, Zirakpur",1.038746014773461e-05
"location_Sector 14, Panchkula",1.0298943739859093e-05
"location_Sector 34B, Chandigarh",9.966954731703596e-06
"location_Sector 15D, Chandigarh",9.950170893858395e-06
"location_Sector 32B, Chandigarh",9.947873829932981e-06
"location_Sanour, Patiala",9.726394072136938e-06
"location_Mehar Singh Colony, Patiala",9.452867968566605e-06
"location_Basant Nagar, Rupnagar",9.35906954052707e-06
"location_Barotiwala, Barotiwala Industrial Area",9.321157145056505e-06
"location_Jandli, Ambala",9.185786780978793e-06
"location_Sector 27C, Chandigarh",9.003277844685922e-06
"location_Sector 1, Chandigarh",8.973604110219846e-06
"location_Sector 10, Chandigarh",8.96101137227703e-06
"location_Thatheryan Mohalla, Kharar",8.585312539402897e-06
"location_Kawgri, Solan",8.08024236958943e-06
"location_Sambalki Village, Mohali",7.429345002697273e-06
"location_Old Town, Ambala",7.38446665665064e-06
"location_Water Supply Colony, Nalagarh",7.0334312151938195e-06
"location_Rattan Nagar, Patiala",5.888680029989119e-06
"location_Mullanpur Garib Dass, Punjab",5.680638521988257e-06
"location_Dealwal 75, Patiala",5.564493073018949e-06
"location_Golden Squar Apartment, Zirakpur",5.379204612924519e-06
"location_Jhil, Patiala",5.276939116378503e-06
"location_Defence Colony, Ambala",4.9540593505807045e-06
"location_Beli Dayour 153, Bagbania Industrial Area",4.86039035507255e-06
"location_Choura Village, Patiala",4.84450010729714e-06
"location_Kuldip Nagar, Ambala",4.84306595267891e-06
"location_Baba Deep Singh Colony, Kharar",4.8108848854934315e-06
"location_Sirhind, Punjab",4.7909524502125016e-06
"location_Dhakansu Kalan, Rajpura",4.727321772832155e-06
"location_Housing Board Colony Phase 1 & 3, Baddi",4.718218143033936e-06
"location_Industrial Area Phase 3, Mohali",4.664004490157183e-06
"location_Ambala Sadar, Ambala",4.640065840680952e-06
"location_Rauni, Dera Bassi",4.629178855844442e-06
"location_Sarangpur, Chandigarh",4.586095627634733e-06
"location_Sundar Nagar, Patiala",4.4949686530288405e-06
"location_Housing Board Colony, Kharar",4.48607288585234e-06
"location_Saini Vihar, Zirakpur",4.340003205074909e-06
"location_Sahibnagar, Patiala",4.305189833406113e-06
"location_Shakti Enclave, Zirakpur",4.252156356020686e-06
"location_Sector 11A, Chandigarh",4.179140524692341e-06
"location_Sector 47D, Chandigarh",4.125722805436531e-06
"location_Judi Kalan, Baddi",4.112026766755946e-06
"location_Mauli Jagran, Chandigarh",4.100162463380846e-06
"location_Jaggi Colony, Ambala",4.083856679094723e-06
"location_New Defence Colony, Zirakpur",4.004235498789056e-06
"location_Punjabi Bagh, Ambala",3.939260071242961e-06
"location_Shiv Shakti Colony, Pinjore",3.936069512354915e-06
"location_Ashok Nagar, Ambala",3.844788174677124e-06
"location_MDC Sector 5A, Panchkula",3.7674239929655167e-06
"location_Har Milan Nagar, Zirakpur",3.56115921768751e-06
"location_Old Rajpura, Rajpura",3.518383973063717e-06
"location_Sector 39B, Chandigarh",3.3580329033175513e-06
"location_Sector 97, Mohali",3.2382856626073885e-06
"location_Harinder Nagar, Patiala",3.105452676021215e-06
"location_Sector 25 West, Chandigarh",3.0249299340552308e-06
"location_Badshahi Bagh, Ambala",2.9649165282397844e-06
"location_Amrit Vihar, Zirakpur",2.9103397701561767e-06
"location_Bajoral Khurd, Solan",2.724411635993234e-06
"location_Shiva Vihar, Zirakpur",2.6906463909134383e-06
"location_Ram Bagh Mohalla, Kharar",2.650984950288754e-06
"location_Gandhi Colony, Rajpura",2.6215487026557975e-06
"location_Pawan Vihar, Solan",2.112999409499125e-06
"location_Parshu Ram Nagar, Ambala",2.045613459531147e-06
"location_Nikoowal 142, Nalagarh",1.895939758140775e-06
"location_Sector 9A, Chandigarh",1.8868395786193427e-06
"location_Patti Sohana 290, Mohali",1.829266590217195e-06
"location_Old Officer Colony, Ambala",1.8167835036694816e-06
"location_Trivedi Camp, Bhankarpur",1.7712876040309447e-06
"location_Bishan Nagar, Patiala",1.76580203071414e-06
"location_Industrial Area Dera Bassi, Dera Bassi",1.6723789880321272e-06
"location_Adalat Bazar, Patiala",1.5544965387529526e-06
"location_New Pratap Nagar, Ambala",1.469669411738822e-06
"location_Sector 32C, Chandigarh",1.4493230497384888e-06
"location_Singanwala, Ambala",1.438839386820405e-06
"location_Vaishali Enclave, Zirakpur",1.4265664865149789e-06
"location_Sector 33C, Chandigarh",1.3948873129076774e-06
"location_Dukhniwaran, Patiala",1.364456052712268e-06
"location_Labighat, Solan",1.3608926700753862e-06
"location_Vikas Colony, Patiala",1.2887822987747848e-06
"location_Rajpur Khurd, Chandigarh",1.2853139082951495e-06
"location_Shiv Pratap Nagar, Ambala",1.1666338086846235e-06
"location_Kathgarh, Zirakpur",1.07890805276867e-06
"location_Bhogpur 190, Pinjore",1.028095711150118e-06
"location_Shivalik Enclave, Rupnagar",9.423562687617808e-07
"location_Railway Quarters, Ambala",8.761257077671116e-07
"location_Virk Colony, Patiala",7.972579557175874e-07
"location_Amravati Enclave, Pinjore",7.95643217890828e-07
"location_Bharat Colony, Rajpura",7.695863482099661e-07
"location_Vikash Nagar, Rajpura",7.085391224634599e-07
"location_Chau Majra, Mohali",6.625871000997031e-07
"location_Sector 5, Panchkula",5.913095936062234e-07
